id,cardCategory,cardCategoryName,cardNo,cardName,subTitle,extendType,extendTypeName,cardColorList,cardColorNameList,hero,region,tag,cardEffect,flavorText,energy,returnEnergy,power,cardQaList,craftList,productList,isPreview,cardSeries,attachEffect,errata,cardGroupLimit,cardNoShort
506,spell,法术,SFD·001/221,矢志不退,,,,['red'],['红色'],,,,"{{反应}} （可在任意时机打出，甚至先于其他法术和技能的结算。）
选择战场上的一名友方单位，此战场上每有一名敌方单位，就让该友方单位在本回合内{{S}}+2。","“我将死战不屈，直至长枪坠地，匍匐不起。”
——潘森",2.0,,,[],"[{'craftLevel': 0, 'frontImage': 'https://cdn.playloltcg.com/lol/card/20251217/d6d71568331f4bc18bf43191df7d12ca.png', 'backImage': '', 'rarity': 'rune_dust', 'rarityName': '普通', 'extendRarity': 'base_inscript', 'extendRarityName': '平卡', 'listSort': 4000, 'artist': 'Kudos Productions'}]","[{'productCode': 'SFD(标准补充包)', 'productName': '铸魂淬炼 标准补充包'}, {'productCode': 'SFD(进阶补充包)', 'productName': '铸魂淬炼 进阶补充包'}]",False,SFD,,,,SFD-001
658,unit,单位,SFD·002/221,武装强袭者,,,,['red'],['红色'],,诺克萨斯,,"{{急速}}（你可以选择额外支付{{1}}和{{红色}}，让我以活跃状态进场。）
{{百炼}}（当你打出我时，你可以选择为我{{装配}}你的一件武装，其装配费用减少{{A}}。可选择已贴附的武装。）",,6.0,1.0,6.0,[],"[{'craftLevel': 0, 'frontImage': 'https://cdn.playloltcg.com/lol/card/20251217/ab061d843817493a8a44ccd71473fab1.png', 'backImage': '', 'rarity': 'rune_dust', 'rarityName': '普通', 'extendRarity': 'base_inscript', 'extendRarityName': '平卡', 'listSort': 3999, 'artist': 'Six More Vodka'}]","[{'productCode': 'SFD(标准补充包)', 'productName': '铸魂淬炼 标准补充包'}, {'productCode': 'SFD(进阶补充包)', 'productName': '铸魂淬炼 进阶补充包'}]",False,SFD,,,,SFD-002
562,spell,法术,SFD·003/221,血性冲刺,,,,['red'],['红色'],,,,"{{迅捷}}（可在你的回合或法术对决中打出。）
{{回响1}}（你可以选择支付此额外费用，以重复此法术效果。）
让一名单位获得{{强攻2}}。（如果它是进攻方，则{{S}}+2。）",,1.0,,,[],"[{'craftLevel': 0, 'frontImage': 'https://cdn.playloltcg.com/lol/card/20251217/122633f9d2e146549d00cdea2966fc37.png', 'backImage': '', 'rarity': 'rune_dust', 'rarityName': '普通', 'extendRarity': 'base_inscript', 'extendRarityName': '平卡', 'listSort': 3998, 'artist': 'Rafael Zanchetin'}]","[{'productCode': 'SFD(标准补充包)', 'productName': '铸魂淬炼 标准补充包'}, {'productCode': 'SFD(进阶补充包)', 'productName': '铸魂淬炼 进阶补充包'}]",False,SFD,,"{{迅捷}}（可在你的回合或法术对决中打出。）
{{回响1}}（你可以选择支付此额外费用，以重复此法术效果。）
让一名单位本回合内获得{{强攻2}}。（如果它是进攻方，则{{S}}+2。）",,SFD-003
563,spell,法术,SFD·004/221,丛林伏击,,,,['red'],['红色'],,,,"{{待命}}（支付{{A}}正面朝下放置此牌，之后可支付{{0}}将其当作反应牌打出。）
在本回合内，友方单位以活跃状态进场。打出一个休眠的“金币”装备指示物。",永远要记得检查草丛。,2.0,1.0,,[],"[{'craftLevel': 0, 'frontImage': 'https://cdn.playloltcg.com/lol/card/20251217/4805a3e805dd498ba9a7877f46c6bf00.png', 'backImage': '', 'rarity': 'rune_dust', 'rarityName': '普通', 'extendRarity': 'base_inscript', 'extendRarityName': '平卡', 'listSort': 3997, 'artist': 'Kudos Productions'}]","[{'productCode': 'SFD(标准补充包)', 'productName': '铸魂淬炼 标准补充包'}, {'productCode': 'SFD(进阶补充包)', 'productName': '铸魂淬炼 进阶补充包'}]",False,SFD,,,,SFD-004
564,spell,法术,SFD·005/221,印爆术,,,,['red'],['红色'],,,,摧毁一件装备，让其控制者抽两张牌。,没人想握住法杖的另一头。,1.0,1.0,,[],"[{'craftLevel': 0, 'frontImage': 'https://cdn.playloltcg.com/lol/card/20251217/b82260a6aa554d629b375bbdb61174da.png', 'backImage': '', 'rarity': 'rune_dust', 'rarityName': '普通', 'extendRarity': 'base_inscript', 'extendRarityName': '平卡', 'listSort': 3996, 'artist': 'Kudos Productions'}]","[{'productCode': 'SFD(标准补充包)', 'productName': '铸魂淬炼 标准补充包'}, {'productCode': 'SFD(进阶补充包)', 'productName': '铸魂淬炼 进阶补充包'}]",False,SFD,,,,SFD-005
659,unit,单位,SFD·006/221,好斗的龙犬,,,,['red'],['红色'],,诺克萨斯,犬形|龙,我以活跃状态进场。,龙犬训练师只有两种：严厉的，和被吃掉的。,3.0,1.0,3.0,[],"[{'craftLevel': 0, 'frontImage': 'https://cdn.playloltcg.com/lol/card/20251217/8e96f52a9bf44671a7aa3e51a3524557.png', 'backImage': '', 'rarity': 'rune_dust', 'rarityName': '普通', 'extendRarity': 'base_inscript', 'extendRarityName': '平卡', 'listSort': 3995, 'artist': 'Michael Ivan'}]","[{'productCode': 'SFD(标准补充包)', 'productName': '铸魂淬炼 标准补充包'}, {'productCode': 'SFD(进阶补充包)', 'productName': '铸魂淬炼 进阶补充包'}]",False,SFD,,,,SFD-006
507,unit,单位,SFD·007/221,晶能阻断器,,,,['red'],['红色'],,班德尔城,机械,当你打出我时，让一名单位本回合内获得{{游走}}。（它可以向其他战场进行移动。）,“这玩意你可必须得来看看！”,2.0,,2.0,[],"[{'craftLevel': 0, 'frontImage': 'https://cdn.playloltcg.com/lol/card/20251217/1ecccaa02bab46a7b64ea2cf12f0cfdc.png', 'backImage': '', 'rarity': 'rune_dust', 'rarityName': '普通', 'extendRarity': 'base_inscript', 'extendRarityName': '平卡', 'listSort': 3994, 'artist': 'Caravan Studio'}]","[{'productCode': 'SFD(英雄预组 兰博)', 'productName': '铸魂淬炼 英雄预组 兰博'}, {'productCode': 'SFD(标准补充包)', 'productName': '铸魂淬炼 标准补充包'}, {'productCode': 'SFD(进阶补充包)', 'productName': '铸魂淬炼 进阶补充包'}]",False,SFD,,,,SFD-007
565,unit,单位,SFD·008/221,哨兵好手,,,,['red'],['红色'],,暗影岛,哨兵,{{百炼}}（当你打出我时，你可以选择为我{{装配}}你的一件武装，其装配费用减少{{A}}。可选择已贴附的武装。）,“轮到我了。”,3.0,,3.0,[],"[{'craftLevel': 0, 'frontImage': 'https://cdn.playloltcg.com/lol/card/20251217/76609f3ec6664d7585f607c06dbf885a.png', 'backImage': '', 'rarity': 'rune_dust', 'rarityName': '普通', 'extendRarity': 'base_inscript', 'extendRarityName': '平卡', 'listSort': 3993, 'artist': 'Wild Blue Studio'}]","[{'productCode': 'SFD(标准补充包)', 'productName': '铸魂淬炼 标准补充包'}, {'productCode': 'SFD(进阶补充包)', 'productName': '铸魂淬炼 进阶补充包'}]",False,SFD,,,,SFD-008
566,equipment,装备,SFD·009/221,锯齿短匕,,,,['red'],['红色'],,,武装,{{装配红色}}（支付{{红色}}：将此牌贴附到你控制的一名单位上。）,,1.0,,,[],"[{'craftLevel': 0, 'frontImage': 'https://cdn.playloltcg.com/lol/card/20251217/1d2005b27489499f839da2a805b985f8.png', 'backImage': '', 'rarity': 'rune_dust', 'rarityName': '普通', 'extendRarity': 'base_inscript', 'extendRarityName': '平卡', 'listSort': 3992, 'artist': '黯荧岛Dark Glow'}]","[{'productCode': 'SFD(标准补充包)', 'productName': '铸魂淬炼 标准补充包'}, {'productCode': 'SFD(进阶补充包)', 'productName': '铸魂淬炼 进阶补充包'}]",False,SFD,{{强攻2}}（如果我是进攻方，则{{S}}+2。）{{S}}+0,,,SFD-009
508,unit,单位,SFD·010/221,虚空蜢,,,,['red'],['红色'],,虚空之地,,如果我从你手牌以外的位置被打出，则我的费用减少{{2}}。,雷克塞的孩子们总是会毫无征兆地突然出现，从恕瑞玛的沙土中对猎物发动袭击。,3.0,,3.0,[],"[{'craftLevel': 0, 'frontImage': 'https://cdn.playloltcg.com/lol/card/20251217/552c798f8b794a9a829243c83b68f54c.png', 'backImage': '', 'rarity': 'rune_dust', 'rarityName': '普通', 'extendRarity': 'base_inscript', 'extendRarityName': '平卡', 'listSort': 3991, 'artist': 'Wild Blue Studio'}]","[{'productCode': 'SFD(标准补充包)', 'productName': '铸魂淬炼 标准补充包'}, {'productCode': 'SFD(进阶补充包)', 'productName': '铸魂淬炼 进阶补充包'}]",False,SFD,,,,SFD-010
